Site,Date,Time,Species,group,Height,Distance,Compass,UTM_X,UTM_Y,Lat,Long,Accuracy,Elevation,Trail_Marker,Transect,Habitat,nose,Behavior,Cue
1MGB,14-05-11,08:43,Indri indri,na,na,50,60,338515,8306475,-15.313176,49.495856,6,540,725,M,,RF,Calling,Hear
1MGB,14-05-11,08:29,Indri indri,na,na,300,20,339798,8305795,-15.319402,49.50776,6,527,1050,G,,RF,Calling,Hear
1MGB,30-03-11,21:50,Microcebus rufus*,1,3,na,340,339230,8306410,-15.313808,49.50251,15,372,25,G,,RF,Sitting,Eye shine
1MGB,12-05-11,09:13,Varecia variegata,na,na,20,120,339375,8308329,-15.296473,49.503984,9,789,1550,Z,,RF,Calling,Hear
2AJB,11-12-10,18:56,Avahi laniger,2,3,6,230,351721,8320755,-15.184902,49.619679,6,595,1525,C,,RF,Stop,
2AJB,11-12-10,19:38,Avahi laniger,2,10,10,300,351259,8320527,-15.186936,49.615366,5,483,975,C,,RF,Stop,
2AJB,11-12-10,19:55,Avahi laniger,1,5,4,340,351119,8320388,-15.188184,49.614054,5,467,750,C,,RF,Stop,
2AJB,11-12-10,18:40,Cheirogaleus major,2,15,15,0,351766,8320755,-15.184904,49.620098,6,606,1625,C,,RF,Stop then moved,
2AJB,11-12-10,19:45,Cheirogaleus major,2,15,15,240,351206,8320480,-15.187358,49.61487,5,475,875,C,,RF,Stop,
2AJB,15-11-10,19:51,Cheirogaleus major,2,10,11,200,352367,8319293,-15.198153,49.625606,5,501,1375,R,,RF,Stop,
2AJB,11-12-10,18:49,Microcebus rufus*,1,2,5,220,351769,8320758,-15.184877,49.620126,9,603,1600,C,,RF,Stop then Feeding,
3AJB,06-10-11,18:25,Eulemur albifrons,?,?,7,300,351817,8320947,-15.183172,49.620584,3,679,1800,C,,RF,Calling,
1MGB,08-04-11,18:20,Avahi laniger,1,3,8,220,339292,8308601,-15.29401,49.503228,5,728,1850,Z,Ridge,SF,Stop,See
1MGB,08-04-11,19:35,Avahi laniger,2,8,3,140,339334,8307858,-15.300728,49.503572,4,786,875,Z,Ridge,SF,Stop,See
1MGB,12-04-11,18:35,Avahi laniger,1,5,7,340,337714,8306283,-15.314861,49.488385,5,663,1675,M,Ridge,SF,Stop,See
1MGB,14-04-11,18:23,Avahi laniger,1,8,15,80,339583,8306027,-15.317292,49.505773,9,531,475,G,Ridge,SF,Stop,See
1MGB,14-04-11,18:37,Avahi laniger,1,5,7,280,339481,8306150,-15.316174,49.504831,4,534,650,G,Ridge,SF,Stop,See
1MGB,18-04-11,19:51,Avahi laniger,1,8,5,80,339585,8306026,-15.317301,49.505791,5,539,675,G,Ridge,SF,Jumping,See
1MGB,22-04-11,19:25,Cheirogaleus major,1,3,6,40,339199,8307391,-15.30494,49.502285,6,753,325,Z,Ridge,SF,Jumping,See
1MGB,14-04-11,08:29,Eulemur albifrons,4,3,5,160,339888,8305684,-15.320411,49.508591,5,488,1225,G,Ridge,SF,Stop,See
2AJB,29-10-10,19:04,Avahi laniger,2,3,10,280,351790,8319594,-15.195399,49.620253,3,481,775,A,Ridge,SF,Stop,
2AJB,29-10-10,19:25,Avahi laniger,3,4,3,180,351667,8319312,-15.197941,49.619091,9,475,425,A,Ridge,SF,Stop,
2AJB,11-03-10,18:57,Avahi laniger,2,5,7,280,351333,8320548,-15.18675,49.616056,3,476,1025,C,Ridge,SF,Stop,
2AJB,11-10-10,19:18,Avahi laniger,3,5,5,260,351761,8319411,-15.197051,49.619972,4,479,600,A,Ridge,SF,Stop,
2AJB,11-10-10,19:38,Avahi laniger,1,3,10,220,351620,8319289,-15.198146,49.618653,9,422,400,A,Ridge,SF,Stop,
2AJB,11-11-10,18:54,Avahi laniger,2,4,6,220,351792,8319455,-15.196656,49.620263,5,490,825,A,Ridge,SF,Jumping,
2AJB,15-11-10,18:57,Avahi laniger,2,8,10,300,352215,8318500,-15.205311,49.624144,7,527,475,R,Ridge,SF,Sleep,
2AJB,15-11-10,20:03,Avahi laniger,1,4,60,290,352323,8319183,-15.199144,49.62519,4,509,1250,R,Ridge,SF,Jumping,
2AJB,15-10-10,20:22,Cheirogaleus major,1,20,20,350,351351,8319209,-15.198854,49.616144,4,373,75,A,Ridge,SF,Stop,
2AJB,11-03-10,19:20,Cheirogaleus major,1,10,8,180,351137,8320395,-15.188122,49.614222,6,479,750,C,Ridge,SF,Stop,
2AJB,19-10-10,09:30,Eulemur albifrons,7,10,20,250,351117,8320387,-15.188193,49.614036,3,468,750,C,Ridge,SF,Jumping,
2AJB,19-10-10,10:18,Eulemur albifrons,2,11,8,80,351771,8320756,-15.184895,49.620144,5,616,1625,C,Ridge,SF,Jumping,
2AJB,11-01-10,08:25,Eulemur albifrons,2,9,7,220,351137,8320383,-15.18823,49.614222,5,480,725,C,Ridge,SF,Jumping,
2AJB,11-01-10,19:10,Eulemur albifrons,1,12,4,30,351272,8320522,-15.186982,49.615486,5,512,950,C,Ridge,SF,Stop,
2AJB,11-08-10,07:45,Eulemur albifrons,4,10,7,20,351322,8319190,-15.199024,49.615873,3,365,75,A,Ridge,SF,Jumping,
2AJB,11-08-10,19:10,Eulemur albifrons,2,9,5,260,351791,8319472,-15.196502,49.620255,4,326,775,A,Ridge,SF,stop,
2AJB,11-10-10,19:00,Eulemur albifrons,2,5,7,120,351778,8319657,-15.194829,49.620145,7,513,875,A,Ridge,SF,Sleep,
2AJB,11-10-10,19:30,Eulemur albifrons,2,10,6,280,351663,8319313,-15.197932,49.619054,3,476,450,A,Ridge,SF,Stop,
2AJB,11-12-10,19:37,Eulemur albifrons,2,4,3,40,352206,8318533,-15.205013,49.624063,5,500,425,R,Ridge,SF,Sleep,
2AJB,11-05-10,18:59,Microcebus rufus*,1,5,9,180,352236,8318754,-15.203017,49.624355,6,480,700,R,Ridge,SF,Sleep,
2AJB,11-05-10,19:11,Microcebus rufus*,1,2,4,140,352217,8318603,-15.204381,49.624169,7,481,525,R,Ridge,SF,Jumping,
2AJB,11-10-10,18:55,Microcebus rufus*,1,2,6,150,351785,8319726,-15.194206,49.620214,5,382,950,A,Ridge,SF,Stop,
2AJB,11-12-10,18:52,Microcebus rufus*,1,3,5,80,352348,8319016,-15.200655,49.625413,6,528,1025,R,Ridge,SF,Jumping,
2MGB,12-06-12,20:22,Avahi laniger,1,6,30,60,338763,8306529,-15.312703,49.498169,4,615,400,M,Ridge,SF,Stop,See
2MGB,25-06-12,18:06,Avahi laniger,1,6,7,25,340211,8305291,-15.323982,49.511574,4,381,1925,R,Ridge,SF,Stop,See
2MGB,12-06-12,20:38,Eulemur albifrons,?,?,~20,300,338944,8306582,-15.312236,49.499858,6,610,200,M,Ridge,SF,Sleep,Heard
2MGB,11-07-12,08:45,Eulemur albifrons,5,8,6,10,339322,8306309,-15.314727,49.50336,3,609,225,R,Ridge,SF,Stop then Feeding,See
2MGB,12-06-12,20:42,Microcebus rufus*,1,8,7,40,338949,8306578,-15.312272,49.499904,6,609,200,M,Ridge,SF,Stop,See
4AJB,23-08-12,19:20,Avahi laniger,2,6,7,210,352366,8319054,-15.200313,49.625582,5,546,1250,R,Ridge,SF,Stop,See
4AJB,04-10-12,19:31,Avahi laniger,1,10,7,160,352224,8318711,-15.203405,49.624241,5,502,800,R,Ridge,SF,Stop,See
4AJB,11-10-12,19:29,Avahi laniger,2,08-Jan,7,260,352342,8319083,-15.200049,49.625361,7,538,1250,R,Ridge,SF,Stop ,See
4AJB,13-10-12,19:31,Avahi laniger,1,3,7,100,351176,8320279,-15.189173,49.614579,5,479,650,C,Ridge,SF,Stop ,See
4AJB,29-08-12,09:37,Eulemur albifrons,5,4,7,280,352299,8318892,-15.201773,49.624949,5,568,1050,R,Ridge,SF,Jumping,See
4AJB,05-10-12,09:18,Eulemur albifrons,8,10,7,140,352280,8318949,-15.201257,49.624776,5,534,1100,R,Ridge,SF,Feeding,See
4AJB,05-10-12,09:39,Eulemur albifrons,4,11,7,160,352232,8318661,-15.203857,49.624312,5,490,775,R,Ridge,SF,Jumping,See
4AJB,06-10-12,07:56,Eulemur albifrons,5,4,7,20,351613,8319288,-15.198155,49.618587,5,442,625,A,Ridge,SF,Jumping,See
4AJB,06-10-12,08:17,Eulemur albifrons,3,6,7,330,351793,8319787,-15.193655,49.620292,6,551,1100,A,Ridge,SF,Feeding,See
4AJB,09-10-12,09:17,Eulemur albifrons,3,5,7,340,351777,8319404,-15.197116,49.620121,6,552,425,A,Ridge,SF,Feeding,See
4AJB,23-08-12,19:05,Microcebus rufus,1,8,7,200,352321,8319173,-15.199235,49.625171,6,445,1375,R,Ridge,SF,Stop,See
4AJB,25-09-12,19:11,Microcebus rufus,1,4,7,60,352326,8319179,-15.199181,49.625217,4,532,1400,R,Ridge,SF,Stop ,See
4AJB,11-10-12,19:12,Microcebus rufus,1,10,7,240,352377,8319298,-15.198108,49.625699,6,546,1525,R,Ridge,SF,Stop,See
FRK,14.6.11,18:22,Avahi laniger,1,3,7,240,375565,8294026,-15.427759,49.840276,3,641,300,F,Ridge,SF,Stop,See
FRK,19.7.11,19:41,Avahi laniger,2,5,7,170,375336,8293994,-15.428037,49.838141,4,289,600,F,Ridge,SF,Stop,See
FRK,20.7.11,19:28,Avahi laniger,2,12,7,65,375235,8293970,-15.428249,49.837198,5,305,775,F,Ridge,SF,Stop,See
FRK,20.7.11,19:23,Avahi laniger,2,11,7,100,375184,8293923,-15.428672,49.836721,4,269,850,F,Ridge,SF,Stop,See
FRK,28.6.11,19:10,Avahi laniger,3,5,7,340,375120,8293799,-15.429789,49.836118,5,253,950,F,Ridge,SF,Stop,See
FRK,19.7.11,19:18,Avahi laniger,2,12,7,60,375155,8293864,-15.429204,49.836447,4,243,950,F,Ridge,SF,Stop,See
FRK,14.6.11,19:31,Avahi laniger,1,3,7,260,375134,8293815,-15.429645,49.836249,5,641,975,F,Ridge,SF,Stop,See
FRK,11.7.11,19:04,Avahi laniger,1,8,7,20,374996,8293775,-15.43,49.834961,5,235,1125,F,Ridge,SF,Stop,See
FRK,11.7.11,18:58,Avahi laniger,1,9,7,20,374975,8293775,-15.429999,49.834766,4,236,1150,F,Ridge,SF,Stop,See
FRK,28.6.11,18:52,Avahi laniger,3,8,7,80,374944,8293778,-15.429971,49.834477,3,230,1175,F,Ridge,SF,Jumping,See
FRK,19.7.11,18:52,Avahi laniger,3,7,7,145,374754,8293710,-15.430576,49.832703,3,181,1350,F,Ridge,SF,Stop,See
FRK,19.7.11,18:43,Avahi laniger,2,8,7,140,374751,8293698,-15.430684,49.832674,3,174,1425,F,Ridge,SF,Stop,See
FRK,19.7.11,18:24,Avahi laniger,1,10,7,120,374540,8293613,-15.431442,49.830704,6,110,1675,F,Ridge,SF,Stop,See
FRK,20.7.11,18:22,Avahi laniger,2,5,7,65,374493,8293588,-15.431666,49.830265,4,113,1725,F,Ridge,SF,Stop,See
FRK,28.6.11,19:40,Eulemur albifrons,1,10,7,100,375365,8293959,-15.428355,49.838409,5,252,525,F,Ridge,SF,Stop,See
FRK,28.6.11,19:40,Eulemur albifrons,1,10,7,120,375365,8293959,-15.428355,49.838409,5,252,525,F,Ridge,SF,Stop,See
FRK,28.6.11,19:04,Eulemur albifrons,4,15,7,280,375120,8293790,-15.429871,49.836118,4,250,950,F,Ridge,SF,Stop,See
FRK,24.6.11,09:15,Eulemur albifrons,2,10,7,20,375534,8294820,-15.420581,49.840027,4,298,1325,K,Ridge,SF,Jumping,See
FRK,7.7.11,18:32,Eulemur albifrons,2?,,7,60,375405,8294911,-15.419752,49.83883,3,303,1475,K,Ridge,SF,NA,Hear
FRK,16.7.11,10:33,Eulemur albifrons,2,0,7,220,375899,8292958,-15.437429,49.843335,6,99,2000,R,Ridge,SF,Stop,Hear
FRK,14.6.11,19:16,Havomy,2,4,7,340,375149,8293841,-15.429411,49.83639,5,643,950,F,Ridge,SF,Stop,See
FRK,14.6.11,18:44,Microcebus rufus,2,15,7,40,375365,8293966,-15.428292,49.838409,5,642,525,F,Ridge,SF,Stop,See
FRK,4.7.11,19:38,Microcebus rufus,1,1.5,7,160,375234,8293972,-15.428231,49.837189,3,278,750,F,Ridge,SF,Stop,See
FRK,19.7.11,19:27,Microcebus rufus,1,1,7,27,375226,8293960,-15.428339,49.837114,4,292,775,F,Ridge,SF,Jumping,See
FRK,20.7.11,19:28,Microcebus rufus,1,2,7,120,375235,8293970,-15.428249,49.837198,5,305,775,F,Ridge,SF,Jumping,See
FRK,11.7.11,19:20,Microcebus rufus,1,1,7,320,375196,8293926,-15.428645,49.836833,6,2058? (a skyscraper),800,F,Ridge,SF,Jumping,See
FRK,11.7.11,18:45,Microcebus rufus,1,9,7,20,374895,8293763,-15.430104,49.83402,3,237,1200,F,Ridge,SF,Jumping,See
FRK,4.7.11,19:15,Microcebus rufus,1,0.5,7,240,374905,8293770,-15.430041,49.834113,3,224,1225,F,Ridge,SF,Stop,See
FRK,4.7.11,18:53,Microcebus rufus,1,1,7,20,374720,8293702,-15.430647,49.832386,3,159,1425,F,Ridge,SF,Stop,See
FRK,20.7.11,18:28,Microcebus rufus,1,1,7,100,374521,8293601,-15.43155,49.830526,3,116,1625,F,Ridge,SF,Jumping,See
FRK,20.7.11,18:17,Microcebus rufus,1,1,7,310,374495,8293565,-15.431874,49.830282,3,113,1725,F,Ridge,SF,Jumping,See
FRK,24.6.11,18:50,Microcebus rufus,1,1.8,7,60,375816,8294537,-15.423152,49.842641,3,216,825,K,Ridge,SF,Jumping,See
FRK,18.7.11,19:30,Microcebus rufus,1,10,7,340,375806,8294535,-15.42317,49.842547,3,221,850,K,Ridge,SF,Stop,See
FRK,7.7.11,19:15,Microcebus rufus,2,1,7,140,375767,8294599,-15.42259,49.842187,4,218,925,K,Ridge,SF,Stop,See
FRK,7.7.11,19:00,Microcebus rufus,1,1,7,200,375667,8294766,-15.421075,49.841264,4,302,1150,K,Ridge,SF,Stop,See
FRK,20.6.11,18:41,Microcebus rufus,1,3,7,160,375651,8294790,-15.420858,49.841116,6,378,1175,K,Ridge,SF,Jumping,See
FRK,7.7.11,18:47,Microcebus rufus,2,15,7,120,375521,8294863,-15.420191,49.839908,3,305,1325,K,Ridge,SF,Jumping,See
SLJ,02-03-11,19:17,Avahi laniger,3,15,7,340,368569,8309755,-15.285237,49.775914,3,377,1625,V,Ridge,SF,Stop,
SLJ,28-01-11,19:05,Avahi laniger,3,8,7,20,368591,8309765,-15.285147,49.776119,3,383,1650,V,Ridge,SF,Stop,
SLJ,02-03-11,19:03,Avahi laniger,1,15,7,220,368680,8309798,-15.284854,49.77695,3,356,1750,V,Ridge,SF,Stop,
SLJ,24-01-11,19:55,Avahi laniger,1,8,7,20,368536,8308451,-15.297022,49.775538,3,464,1200,W,Ridge,SF,Stop,
SLJ,02-02-11,19:45,Avahi laniger,1,10,7,320,368500,8308405,-15.297436,49.7752,4,421,1275,W,Ridge,SF,Stop,
SLJ,02-02-11,19:18,Avahi laniger,2,8,7,20,368447,8308341,-15.298012,49.774704,6,389,1375,W,Ridge,SF,Stop,
SLJ,28-01-11,19:25,Cheirogaleus major,1,5,7,340,368380,8309643,-15.286239,49.774148,5,428,1300,V,Ridge,SF,Stop,
SLJ,27-01-11,19:20,Eulemur albifrons,2,12,7,320,368609,8309768,-15.285121,49.776287,4,371,1600,V,Ridge,SF,Stop,
SOA,16-04-11,20:38,Cheirogaleus major,1,6,7,200,333243,8347144,-14.945282,49.449439,4,1092,200,C,Ridge,SF,Stop,Seen
SOA,12-04-11,09:48,Eulemur albifrons,12,11,7,40,333460,8347446,-14.942566,49.451475,3,1140,700,C,Ridge,SF,Jumping,Seen
SOA,16-04-11,09:15,Eulemur albifrons,5,12,9,120,333251,8347153,-14.945201,49.449514,4,1109,200,C,Ridge,SF,Jumping,Seen
SOA,26-04-11,20:15,Eulemur albifrons,1,8,12,300,333904,8346003,-14.955636,49.45551,4,1107,1675,D,Ridge,SF,Stop,Seen
SOA,04-05-11,09:25,Eulemur albifrons,5,10,8,160,334140,8346723,-14.949144,49.45775,4,1138,600,D,Ridge,SF,Stop,Seen
SOA,08-05-11,19:05,Eulemur albifrons,2,8,14,40,334132,8346735,-14.949035,49.457676,3,1132,600,D,Ridge,SF,Stop,Seen
SOA,13-04-11,08:40,Indri indri,1,5,14,60,333238,8347146,-14.945264,49.449392,3,1090,200,C,Ridge,SF,Jumping,Seen
SOA,11-04-11,20:04,Microcebus rufus*,1,3,12,160,333444,8347387,-14.943099,49.451323,3,1132,600,C,Ridge,SF,Stop,Seen
SOA,12-04-11,20:12,Microcebus rufus*,2,7,6,300,333459,8347422,-14.942783,49.451465,4,1140,650,C,Ridge,SF,Stop,Seen
SOA,13-04-11,20:55,Microcebus rufus*,1,4,12,260,333210,8347093,-14.945741,49.449129,4,1086,75,C,Ridge,SF,Stop,Seen
SOA,16-04-11,20:10,Microcebus rufus*,5,5,9,200,333467,8347409,-14.942901,49.451538,4,1147,625,C,Ridge,SF,Stop,Seen
SOA,26-04-11,18:49,Microcebus rufus*,1,5,3,240,334145,8346740,-14.94899,49.457798,4,1124,600,D,Ridge,SF,Jumping,Seen
SOA,19-04-11,20:25,Varecia variegata,2,20,8,40,334138,8346721,-14.949162,49.457731,4,1157,600,D,Ridge,SF,Stop,Seen
VIN,3.7.11,18:37,Avahi laniger,1,6,4,80,336605,8289384,-15.467519,49.476947,4,493,475,I,Ridge,SF,Stop,See
VIN,22.6.11,19:39,Avahi laniger,1,7,5,120,336332,8289318,-15.468098,49.474399,10,484,800,I,Ridge,SF,Stop,See
VIN,30.6.11,,Avahi laniger,1,5,4,240,335759,8289283,-15.468377,49.469057,4,526,1500,I,Ridge,SF,Stop,See
VIN,5.7.11,19:05,Avahi laniger,1,4,3,230,336392,8291383,-15.449439,49.475094,3,598,1050,N,Ridge,SF,Stop,See
VIN,7.7.11,20:03,Avahi laniger,1,7,4,380,336649,8291587,-15.447612,49.477503,6,616,1425,N,Ridge,SF,Stop,See
VIN,7.7.11,20:19,Avahi laniger,1,5,3,210,336840,8291387,-15.449431,49.479269,4,580,1700,N,Ridge,SF,Stop,See
VIN,18.6.11,19:35,Avahi laniger,1,4,5,240,335643,8288891,-15.471913,49.46795,5,885,525,X,Ridge,SF,Stop,See
VIN,14.6.11,19:02,Avahi laniger,3,7,5,260,335838,8288558,-15.474935,49.469745,5,557,1050,X,Ridge,SF,Stop,See
VIN,18.6.11,18:20,Avahi laniger,1,6,4,320,336394,8288635,-15.474275,49.474931,3,527,1700,X,Ridge,SF,Stop,See
VIN,28.6.11,,Avahi laniger,1,7,5,100,336414,8288577,-15.4748,49.475114,6,538,1725,X,Ridge,SF,Stop,See
VIN,6.7.11,18:48,Avahi laniger,1,4,5,110,336044,8288521,-15.475282,49.471662,3,527,11300,X,Ridge,SF,Stop,See
VIN,6.7.11,08:53,Indri indri,3,5,10,260,336178,8288536,-15.475155,49.472912,6,538,1450,X,Ridge,SF,Jumping,See
VIN,20.6.11,08:58,Indri indri,,,50,220,336253,8296323,-15.474802,49.474135,4,528,1600,X,Ridge,SF,Calling,Hear
VIN,16.6.11,20:12,Microcebus rufus,2,2,9,70,336810,8289365,-15.467704,49.478856,9,477,250,I,Ridge,SF,Jumping,See
VIN,22.6.11,09:06,Varecia variegata,,,150,310,335844,8289345,-15.467822,49.469853,6,565,1375,I,Ridge,SF,Calling,Hear
1MGB,18-04-11,19:36,Avahi laniger,1,6,7,220,339486,8306133,-15.316327,49.504876,9,558,500,G,slope,SF,Stop,See
1MGB,26-04-11,19:43,Avahi laniger,1,7,8,20,338616,8306463,-15.313291,49.496796,4,660,600,M,Slope,SF,Stop,See
1MGB,28-04-11,20:49,Avahi laniger,1,8,5,300,339227,8306415,-15.313763,49.502483,8,620,25,G,slope,SF,Stop,See
1MGB,02-05-11,18:43,Avahi laniger,1,11,10,100,337701,8306282,-15.314869,49.488264,5,692,1700,M,slope,SF,Stop,See
1MGB,02-05-11,19:04,Avahi laniger,2,10,15,180,338130,8306416,-15.313685,49.492267,8,661,1250,M,Slope,SF,Stop,See
1MGB,04-05-11,19:39,Avahi laniger,1,6,7,280,339217,8307534,-15.303649,49.502461,5,777,550,Z,slope,SF,Stop,See
1MGB,06-05-11,19:09,Avahi laniger,1,4,3,300,339426,8307868,-15.300643,49.504429,4,783,1050,Z,slope,SF,Jumping,See
1MGB,06-05-11,19:14,Avahi laniger,1,4,6,260,339424,8307847,-15.300833,49.504409,4,783,1025,Z,Slope,SF,Stop,See
1MGB,06-05-11,19:48,Avahi laniger,1,8,6,120,339183,8307430,-15.304586,49.502138,8,740,300,Z,slope,SF,Stop,See
1MGB,25-04-11,19:17,Cheirogaleus major,1,10,8,300,339883,8305694,-15.32032,49.508545,5,466,1175,G,slope,SF,Stop,See
1MGB,05-04-11,07:45,Eulemur albifrons,5,3,7,240,339457,8306156,-15.316118,49.504608,5,604,475,G,slope,SF,Jumping,Hear
1MGB,14-04-11,08:20,Eulemur albifrons,3,8,15,220,339846,8305723,-15.320055,49.508203,4,523,1150,G,slope,SF,Jumping,See
1MGB,09-05-11,10:11,Eulemur albifrons,3,8,5,340,339495,8306146,-15.316211,49.504961,8,567,525,G,slope,SF,Jumping,See
1MGB,13-05-11,08:51,Eulemur albifrons,3,6,7,240,339866,8305702,-15.320246,49.508387,5,507,1150,G,Slope,SF,Stop,See
1MGB,14-05-11,08:52,Eulemur albifrons,4,9,8,320,338366,8306499,-15.31295,49.49447,11,329,900,M,slope,SF,Jumping,See
2MGB,12-06-12,19:11,Avahi laniger,2,4,10,110,338229,8306413,-15.313718,49.493189,5,614,1075,M,Slope,SF,Jumping,See
2MGB,15-06-12,18:17,Avahi laniger,1,6,6,100,340376,8305310,-15.323821,49.513112,5,386,2000,R,Slope,SF,Stop,See
