Site,Date,Time,Species,group,Height,Distance,Compass,UTM_X,UTM_Y,Lat,Long,Accuracy,Elevation,Trail_Marker,Transect,Habitat,nose,Behavior,Cue
2MGB,05-07-12,19:30,Avahi laniger,1,8,9,200,339154,8307433,-15.304558,49.501868,5,708,925,Z,Slope,SF,Stop,See
2MGB,18-07-12,18:53,Avahi laniger,1,3,4,340,338185,8306423,-15.313625,49.49278,11,616,1225,M,Slope,SF,Jumping,See
2MGB,18-07-12,19:01,Avahi laniger,1,5,7,20,338180,8306411,-15.313733,49.492733,10,629,1200,M,Slope,SF,Stop,See
2MGB,15-06-12,18:17,Eulemur albifrons,?,?,30,140,340276,8305310,-15.323815,49.512181,5,386,2000,R,Slope,SF,Calling,Heard
2MGB,25-07-12,09:41,Eulemur albifrons,4,6,7,200,339992,8305649,-15.320733,49.509557,6,455,1400,R,Slope,SF,Feeding,See
2MGB,12-06-12,19:19,Lepilemur,1,12,7,260,338231,8306413,-15.313718,49.493208,9,618,1075,M,Slope,SF,Stop,See
2MGB,12-06-12,18:30,Microcebus rufus*,1,3,7,150,337872,8306334,-15.31441,49.489859,3,650,1525,M,Slope,SF,Jumping,See
2MGB,12-06-12,19:34,Microcebus rufus*,1,5,7,70,338320,8306422,-15.313643,49.494037,8,612,1000,M,Slope,SF,Jumping,See
2MGB,05-07-12,19:31,Microcebus rufus*,1,15,7,220,339154,8307433,-15.304558,49.501868,5,708,925,Z,Slope,SF,Jumping,see
2MGB,24-07-12,18:36,Microcebus rufus*,2,4,7,240,340029,8305607,-15.321115,49.509899,9,439,240,R,Slope,SF,Jumping,See
4AJB,16-08-12,19:35,Avahi laniger,1,5,7,20,351805,8319650,-15.194894,49.620396,3,494,825,A,Slope,SF,Stop,See
4AJB,20-09-12,19:24,Avahi laniger,1,7,7,220,351804,8319512,-15.196141,49.620378,4,519,750,A,Slope,SF,Stop,See
4AJB,20-09-12,19:51,Avahi laniger,1,10,7,340,351448,8319272,-15.19829,49.617051,4,225,225,A,Slope,SF,Stop,see
4AJB,31-08-12,18:51,Microcebus rufus,1,15,7,160,352067,8320342,-15.188654,49.622875,5,587,1775,A,Slope,SF,Jumping,See
4AJB,03-09-12,19:06,Microcebus rufus,1,12,7,200,352020,8320151,-15.190378,49.622426,6,576,1600,A,Slope,SF,Stop,See
4AJB,25-09-12,19:05,Microcebus rufus,1,3,7,200,352345,8319265,-15.198404,49.625399,4,519,1500,R,Slope,SF,Stop,See
4AJB,25-09-12,19:40,Microcebus rufus,1,8,7,220,352250,8318763,-15.202936,49.624486,4,512,875,R,Slope,SF,Stop,See
FRK,28.6.11,20:25,Avahi laniger,4,2,7,100,375748,8294183,-15.426349,49.841989,4,178,25,F,Slope,SF,Stop,See
FRK,14.6.11,20:45,Avahi laniger,2,15,7,100,374413,8293525,-15.432231,49.829516,4,641,1875,F,Slope,SF,Jumping,See
FRK,17.6.11,18:23,Eulemur albifrons,4?,15?,7,80,375759,8292978,-15.437242,49.842031,8,590,1725,R,Slope,SF,Stop,Hear
FRK,1.7.11,18:18,Eulemur albifrons,1,10,7,280,375899,8292963,-15.437384,49.843335,5,123,1950,R,Slope,SF,Stop,See
FRK,14.6.11,19:42,Microcebus rufus,2,10,7,340,375053,8293775,-15.430003,49.835492,6,643,1100,F,Slope,SF,Stop,See
FRK,14.6.11,19:52,Microcebus rufus,1,2,7,220,374970,8293768,-15.430059,49.834197,6,640,1178,F,Slope,SF,Jumping,See
FRK,14.6.11,20:01,Microcebus rufus,1,2,7,240,374914,8293768,-15.430059,49.834197,3,643,1223,F,Slope,SF,Jumping,See
FRK,17.6.11,19:13,Microcebus rufus,1,4,7,60,376080,8293886,-15.42905,49.845068,10,692,175,R,Slope,SF,Jumping,See
FRK,1.7.11,19:24,Microcebus rufus,1,5,7,320,375972,8293746,-15.43031,49.844055,6,69,350,R,Slope,SF,Jumping,See
SOA,12-04-11,19:36,Avahi laniger,1,6,7,280,333697,8347729,-14.940024,49.453697,4,1132,1250,C,Slope,SF,Stop,Seen
SOA,14-04-11,20:59,Avahi laniger,1,5,7,260,333386,8347249,-14.944342,49.450775,5,1119,375,C,Slope,SF,Stop,Seen
SOA,16-04-11,19:20,Avahi laniger,2,8,7,220,333752,8347822,-14.939186,49.454214,6,1160,1375,C,Slope,SF,Stop,Seen
SOA,19-04-11,21:05,Avahi laniger,1,6,7,320,333965,8347056,-14.946123,49.456145,4,1125,100,D,Slope,SF,Stop,Seen
SOA,11-04-11,18:44,Eulemur albifrons,2,16,7,300,334030,8347960,-14.937957,49.456807,5,1214,1725,C,Slope,SF,Stop,Seen
SOA,12-04-11,18:42,Eulemur albifrons,2,12,7,140,334052,8347964,-14.937922,49.457012,4,1208,1775,C,Slope,SF,Stop,Seen
SOA,14-04-11,10:10,Eulemur albifrons,8,18,7,20,333856,8347907,-14.938425,49.455186,4,1184,1575,C,Slope,SF,Jumping,Seen
SOA,16-04-11,09:04,Eulemur albifrons,2,12,5,60,333148,8347030,-14.946306,49.448548,4,1072,25,C,Slope,SF,Jumping,Seen
SOA,16-04-11,18:38,Eulemur albifrons,2,8,12,160,334050,8347970,-14.937868,49.456994,4,1207,1750,C,Slope,SF,Stop,Seen
SOA,14-04-11,18:48,Microcebus rufus*,1,6,8,220,334051,8347969,-14.937877,49.457003,4,1215,1750,C,Slope,SF,Stop,Seen
SOA,14-04-11,18:55,Microcebus rufus*,1,3,7,260,333943,8347910,-14.938403,49.455995,4,1211,1625,C,Slope,SF,Stop,Seen
SOA,03-05-11,18:30,Microcebus rufus*,1,6,4,160,333974,8347045,-14.946223,49.456228,4,1131,100,D,Slope,SF,Jumping,Seen
VIN,16.6.11,20:00,Avahi laniger,1,10,15,80,336754,8289381,-15.467556,49.478335,8,486,300,I,Slope,SF,Stop,See
VIN,2.7.11,18:41,Microcebus rufus,1,5,3,90,336090,8291176,-15.45129,49.472267,7,594,625,N,Slope,SF,Jumping,See
2MGB,17-07-12,18:10,Avahi laniger,1,5,7,320,337585,8306257,-15.315088,49.487182,5,638,1900,M,Valley,SF,Stop,See
2MGB,17-07-12,18:45,Avahi laniger,1,4,9,80,337940,8306343,-15.314333,49.490493,4,643,1450,M,Valley,SF,Jumping,See
3AJB,02-09-11,19:47,Avahi laniger,1,7,7,140,351407,8320083,-15.190957,49.616717,8,430,125,C,Valley,SF,Stop,
4AJB,31-08-12,18:35,Avahi laniger,1,10,7,200,352158,8320986,-15.182839,49.62376,4,627,2025,A,Valley,SF,Stop ,See
4AJB,30-08-12,08:57,Eulemur albifrons,4,8,7,288,351131,8320395,-15.188122,49.614167,4,495,750,C,Valley,SF,Jumping,See
FRK,9.7.11,19:30,Avahi laniger,1,10,7,60,375972,8293771,-15.430084,49.844056,5,67,300,R,Valley,SF,Stop,See
FRK,17.6.11,19:06,Avahi laniger,1,10,7,340,375978,8293773,-15.430066,49.844112,4,667,325,R,Valley,SF,Stop,See
FRK,9.7.11,19:20,Avahi laniger,1,4,7,340,375800,8293541,-15.432155,49.842442,5,122,625,R,Valley,SF,Stop,See
FRK,21.6.11,19:27,Avahi laniger,1,15,7,20,375803,8293529,-15.432263,49.842469,6,36,650,R,Valley,SF,Stop,See
FRK,27.6.11,19:32,Avahi laniger,3,8,7,60,375790,8293542,-15.432145,49.842349,8,40,650,R,Valley,SF,Stop,See
FRK,17.6.11,18:50,Avahi laniger,1,8,7,340,375770,8293477,-15.432732,49.842159,9,641,700,R,Valley,SF,Stop,See
FRK,27.6.11,19:15,Avahi laniger,1,7,7,40,375766,8293495,-15.432569,49.842123,8,39,700,R,Valley,SF,Stop,See
FRK,9.7.11,19:10,Avahi laniger,1,6,7,40,375759,8293478,-15.432722,49.842057,5,129,700,R,Valley,SF,Stop,See
FRK,7.7.11,19:58,Eulemur albifrons,2?,,7,100,376282,8294464,-15.423835,49.846979,3,73,150,K,Valley,SF,NA,Hear
FRK,14.7.11,19:15,Eulemur albifrons,3,10,7,340,375906,8293606,-15.431572,49.843433,4,50,500,R,Valley,SF,Stop,Hear
FRK,16.7.11,09:38,Eulemur albifrons,3,5 to 8,7,240,375709,8293423,-15.433217,49.841588,9,31,825,R,Valley,SF,Jumping,See
FRK,27.6.11,18:47,Eulemur albifrons,1,10,7,20,375551,8293093,-15.436192,49.840099,7,44,1400,R,Valley,SF,Stop,See
FRK,7.7.11,20:08,Microcebus rufus,2,8,7,220,376235,8294380,-15.424592,49.846537,3,110,25,K,Valley,SF,Stop,See
FRK,14.7.11,19:00,Microcebus rufus,2,10,7,40,375712,8293449,-15.432982,49.841617,6,34,750,R,Valley,SF,Jumping,See
FRK,21.6.11,19:00,Microcebus rufus,1,2,7,40,375722,8293418,-15.433263,49.841709,8,36,800,R,Valley,SF,Stop,See
FRK,21.6.11,18:52,Microcebus rufus,1,4,7,20,375593,8293396,-15.433455,49.840506,5,55,900,R,Valley,SF,Jumping,See
FRK,1.7.11,19:00,Microcebus rufus,1,2,7,200,375514,8293275,-15.434545,49.839763,7,27,1075,R,Valley,SF,Jumping,See
SOA,07-04-11,21:18,Avahi laniger,2,5,7,20,333098,8346131,-14.954428,49.448025,4,1044,1975,B,Valley,SF,Stop,Seen
SOA,07-04-11,21:26,Avahi laniger,1,6,7,280,333085,8346129,-14.954446,49.447904,4,1022,2000,B,Valley,SF,Stop,Seen
SOA,18-04-11,19:32,Avahi laniger,1,4,7,340,333990,8346127,-14.954521,49.456317,4,1039,1425,D,Valley,SF,Stop,Seen
SOA,01-04-11,10:30,Eulemur albifrons,15,5,7,300,333069,8344848,-14.966022,49.447672,4,1022,100,B,Valley,SF,Stop,Seen
SOA,01-04-11,19:56,Eulemur albifrons,2,10,7,20,333005,8345776,-14.957631,49.447137,6,1009,1400,B,Valley,SF,Stop,Seen
SOA,04-04-11,18:32,Eulemur albifrons,4,8,7,320,333037,8344829,-14.966192,49.447373,4,930,100,B,Valley,SF,Stop,Seen
SOA,04-04-11,20:32,Eulemur albifrons,2,12,7,260,333117,8345946,-14.956102,49.44819,4,1000,1750,B,Valley,SF,Stop,Seen
SOA,07-04-11,18:48,Eulemur albifrons,1,8,7,340,333139,8344938,-14.965213,49.448329,6,983,250,B,Valley,SF,Stop,Seen
SOA,07-04-11,19:58,Eulemur albifrons,9,6,7,20,333023,8345514,-14.96,49.447288,5,991,1225,B,Valley,SF,Stop,Seen
SOA,15-04-11,18:44,Eulemur albifrons,2,12,7,240,333288,8345065,-14.964075,49.449722,6,1077,500,C,Valley,SF,Stop,Seen
SOA,15-04-11,19:50,Eulemur albifrons,5,13,,340,333084,8345424,-14.960817,49.447849,5,957,1150,B,Valley,SF,Stop,Seen
SOA,04-04-11,19:47,Eulemur rubriventer,2,6,,40,332974,8345852,-14.956942,49.446854,3,1034,1200,B,Valley,SF,Stop,Seen
SOA,07-04-11,20:29,Microcebus rufus*,1,6,7,320,332987,8345664,-14.958642,49.446963,3,1002,1325,B,Valley,SF,Stop,Seen
SOA,18-04-11,19:25,Varecia variegata,2,16,6,60,333968,8346099,-14.954772,49.456111,4,1110,1525,D,Valley,SF,Stop,Seen
1MGB,30-03-11,18:50,Avahi laniger,1,5,na,90,340257,8305298,-15.323922,49.512003,17,374,1950,G,,SF,Sitting,Eye shine
1MGB,30-03-11,18:30,Cheirogaleus major,2,5,na,300,340362,8305306,-15.323856,49.512981,9,405,2000,G,,SF,"Movement, Whistling call",Moving
1MGB,18-04-11,08:53,Indri indri,na,na,100,60,339637,8305981,-15.317711,49.506273,3,543,725,G,,SF,Calling,Call
2AJB,23-10-10,19:30,Avahi laniger,1,12,10,280,351283,8320162,-15.190236,49.615567,5,476,350,C,,SF,Sleep,
2AJB,26-10-10,19:29,Avahi laniger,1,4,8,260,352215,8318501,-15.205302,49.624145,7,502,425,R,,SF,Stop,
2AJB,28-10-10,18:56,Eulemur albifrons,6,9,20,260,351312,8320542,-15.186803,49.61586,5,502,1000,C,,SF,Stop,
2AJB,25-10-10,09:05,Eulemur albifrons,4,12,8,260,352331,8318977,-15.201007,49.625252,7,494,1075,R,,SF,Jumping,
2AJB,26-10-10,18:25,Microcebus rufus*,1,2,5,300,352425,8319354,-15.197604,49.626149,4,499,1450,R,,SF,Stop,
2AJB,26-10-10,19:24,Microcebus rufus*,1,3,7,180,352209,8318636,-15.204082,49.624097,7,455,575,R,,SF,Jumping,
2AJB,26-10-10,19:38,Microcebus rufus*,2,2,7,200,352197,8318432,-15.205925,49.623973,5,501,325,R,,SF,Stop,
2AJB,28-10-10,19:15,Varecia rubra,2,12,7,180,351129,8320376,-15.188293,49.614147,3,479,700,C,,SF,Sleep,
FRK,17.6.11,18:12,Avahi laniger,1,4,7,140,375840,8292949,-15.437508,49.842785,6,622,1900,R,,SF,Stop,See
FRK,17.6.11,17:59,Avahi laniger,3,5,7,120,375899,8292968,-15.437339,49.843336,6,642,2000,R,,SF,Jumping,See
SLJ,28-01-11,18:54,Avahi laniger,2,3,7,320,368627,8309777,-15.285041,49.776455,3,379,1675,V,,SF,Stop,
SLJ,24-01-11,19:45,Avahi laniger,2,3,7,120,368489,8308374,-15.297715,49.775096,3,415,1275,W,,SF,Jumping,
SLJ,28-01-11,19:00,Microcebus rufus,1,3,7,320,368615,8309768,-15.285122,49.776343,3,381,1675,V,,SF,Stop,
VIN,3.7.11,08:17,Indri indri,,,250,300,336088,8289479,-15.466627,49.472135,4,501,825,I,,SF,Calling,Hear
VIN,3.7.11,08:35,Indri indri,,,200,260,336605,8289340,-15.467917,49.476944,5,493,1100,I,,SF,Calling,Hear
VIN,30.6.11,09:02,Indri indri,,,150,180,335672,8289063,-15.47036,49.468231,4,572,1800,I,,SF,Calling,Hear
VIN,4.7.11,08:39,Indri indri,,,50,160,336348,8288573,-15.474832,49.474498,6,548,1650,X,,SF,Calling,Hear
VIN,28.6.11,,Indri indri,,,150,200,336550,8288551,-15.475044,49.476379,5,504,1875,X,,SF,Calling,Hear
VIN,24.6.11,07:41,Varecia variegata,,,200,320,336137,8290841,-15.454321,49.472682,5,515,100,N,,SF,Calling,Hear
VIN,2.7.11,08:53,Varecia variegata,,,300,280,335986,8291013,-15.452757,49.471287,5,580,375,N,,SF,Calling,Hear
VIN,7.7.11,,Varecia variegata,,,200,160,335798,8288584,-15.474697,49.469374,5,552,975,X,,SF,Calling,Hear
1MGB,25-04-11,19:27,Avahi laniger,1,6,7,100,339780,8305833,-15.319057,49.507595,3,502,1000,G,Ridge,SK,Stop,See
2AJB,13-11-10,09:02,Eulemur albifrons,5,10,20,220,352131,8317945,-15.210323,49.62333,5,415,0,R,Ridge,SK,Moving / Grunting,
FRK,4.7.11,18:30,Microcebus rufus,1,10,7,160,374583,8293628,-15.431309,49.831105,3,129,1625,F,Ridge,SK,Jumping,See
FRK,4.7.11,18:12,Microcebus rufus,1,1,7,340,374369,8293499,-15.432464,49.829105,4,92,1900,F,Ridge,SK,Jumping,See
FRK,4.7.11,18:08,Microcebus rufus,1,2,7,220,374329,8293490,-15.432544,49.828731,3,93,1950,F,Ridge,SK,Stop,See
SLJ,27-01-11,19:59,Avahi laniger,1,3,7,160,367523,8309136,-15.290778,49.766141,3,369,700,F,Ridge,SK,Jumping,
SLJ,27-01-11,19:39,Avahi laniger,2,12,7,280,368043,8309615,-15.286475,49.771008,3,477,775,V,Ridge,SK,Stop,
SLJ,27-01-11,19:28,Avahi laniger,1,10,7,300,368221,8309553,-15.287045,49.772663,3,472,975,V,Ridge,SK,Stop,
SLJ,26-01-11,19:14,Avahi laniger,2,10,7,280,368460,8309738,-15.285385,49.774898,3,390,1500,V,Ridge,SK,Stop,
SLJ,01-10-11,19:02,Eulemur albifrons,1,5,7,220,367870,8309471,-15.287768,49.76939,4,426,50,F,Ridge,SK,Sleep,
SLJ,13-01-11,08:30,Eulemur albifrons,2,6,7,160,367749,8309625,-15.28637,49.768271,4,396,425,V,Ridge,SK,Jumping,
SLJ,31-01-11,18:55,Eulemur albifrons,4,10,7,340,367981,8308407,-15.297391,49.770367,3,355,1950,W,Ridge,SK,Stop,
SLJ,01-10-11,19:20,Microcebus rufus,3,10,7,260,367854,8309361,-15.288762,49.769235,4,398,175,F,Ridge,SK,Jumping,
SLJ,28-01-11,19:35,Microcebus rufus,1,4,7,240,367561,8309307,-15.289235,49.766504,3,374,600,F,Ridge,SK,Stop,
SLJ,24-01-11,19:15,Microcebus rufus,2,1.5,7,60,368229,8308374,-15.297702,49.772675,3,415,1600,W,Ridge,SK,Stop,
SLJ,01-10-11,19:30,Microcebus rufus,1,1,7,160,367825,8309366,-15.288715,49.768965,4,387,250,F,Valley,SK,Jumping,
SLJ,01-10-11,20:00,Microcebus rufus,2,1,7,140,367646,8309378,-15.288597,49.767299,4,369,450,F,Valley,SK,Jumping,
SLJ,26-01-11,20:11,Microcebus rufus,2,4,7,140,367561,8309307,-15.289235,49.766504,5,361,600,F,Valley,SK,Stop,
SLJ,25-01-11,20:14,Avahi laniger,1,7,7,40,368807,8308421,-15.297307,49.77806,5,444,875,W,,SK,Jumping,
SLJ,28-01-11,19:40,Cheirogaleus major,1,6,7,220,368028,8309592,-15.286682,49.770867,3,483,750,V,,SK,Jumping,
SLJ,28-01-11,20:05,Microcebus rufus,2,3,7,20,367869,8309393,-15.288473,49.769376,3,418,125,F,,SK,Jumping,
SLJ,28-01-11,20:05,Microcebus rufus,2,3,7,20,367869,8309393,-15.288473,49.769376,3,418,125,F,,SK,Jumping,
2AJB,10-01-10,18:50,Avahi laniger,1,5,9,120,351703,8319352,-15.197581,49.619429,5,461,200,A,Ridge,,Stop,
2AJB,10-05-10,19:15,Avahi laniger,1,6,3,280,352201,8318445,-15.205808,49.624011,5,517,350,R,Ridge,,Stop,
2AJB,10-05-10,19:35,Avahi laniger,1,9,2,80,352207,8318255,-15.207525,49.624056,5,455,125,R,Ridge,,Stop,
2AJB,10-09-10,18:36,Avahi laniger,7,8,5,340,351433,8320062,-15.191149,49.616958,6,495,75,C,Ridge,,NA,
2AJB,15-10-10,18:46,Avahi laniger,1,15,NA,100,352345,8319249,-15.198549,49.625398,3,507,1325,R,Ridge,,Stop,
2AJB,15-10-10,19:04,Avahi laniger,1,8,6,250,352323,8319213,-15.198873,49.625191,9,515,1275,R,Ridge,,Stop,
2AJB,10-09-10,09:29,Eulemur albifrons,4,10,8,40,352080,8320300,-15.189034,49.622993,4,614,1650,A,Ridge,,Stop,
2AJB,15-10-10,19:46,Eulemur albifrons,4,10,17,160,352226,8318626,-15.204173,49.624254,4,489,575,R,Ridge,,Stop,
2AJB,10-05-10,19:00,Eulemur rubriventer,2,10,15,260,352225,8318659,-15.203875,49.624247,8,485,600,R,Ridge,,Sleep,
2AJB,15-10-10,20:06,Microcebus rufus*,2,6,9,120,352171,8318407,-15.206149,49.623729,4,501,300,R,Ridge,,Stop,
2AJB,15-10-10,20:30,Microcebus rufus*,2,3,2,220,352206,8318255,-15.207525,49.624046,3,468,125,R,Ridge,,Stop then moved,
2AJB,10-05-10,18:31,Propithecus candidus,3,14,20,340,352223,8318718,-15.203341,49.624232,4,491,675,R,Slope,,Sleep,
3AJB,02-09-11,18:45,Avahi laniger,1,5,7,40,351674,8320759,-15.184863,49.619242,5,445,1500,C,Slope,,Stop,
SOA,27-03-11,18:58,Avahi laniger,1,7,7,80,333097,8344863,-14.965888,49.447933,4,999,175,B,Slope,,Jumping,Seen
SOA,28-03-11,19:28,Hapalemur griseus,1,8,9,120,333256,8344970,-14.964931,49.449418,5,1020,350,B,Slope,,Stop,Seen
SOA,14-04-11,08:50,Propithecus candidus,4,18,12,200,333278,8347151,-14.945221,49.449765,4,1098,225,C,Slope,,Jumping,Seen
2AJB,10-09-10,18:20,Eulemur albifrons,3,12,9,300,351278,8320070,-15.191068,49.615516,9,445,200,C,Valley,,Sleep,
1MGB,26-03-11,08:40,Eulemur albifrons,5,7,na,10,338128,8306422,-15.313631,49.492249,9,664,2250,M,,,Alarm call,Call
1MGB,26-03-11,06:55,Indri indri,4 to 5,25,na,80,339036,8306508,-15.31291,49.50071,0,600,0,M,,,Social call,Call
1MGB,26-03-11,08:40,Indri indri,6 to 7,10,na,10,338128,8306422,-15.313631,49.492249,9,664,2250,M,,,Social call,Call
2MGB,15-06-12,08:02,Indri indri,?,?,7,240,339311,8307094,-15.307631,49.503308,7,597,450,Z,,,Calling,Heard
2MGB,19-06-12,09:21,Indri indri,?,?,7,210,339339,8306994,-15.308537,49.503563,,693,300,Z,,,Calling,Heard
2MGB,20-06-12,09:26,Indri indri,?,?,7,230,339243,8306403,-15.313872,49.502631,,625,75,R,,,NA,Heard
2MGB,18-07-12,09:31,Indri indri,?,?,7,20,338088,8306426,-15.313592,49.491877,5,637,1275,M,,,Calling,Heard
2MGB,19-07-12,09:43,Indri indri,?,?,7,360,338243,8306469,-15.313213,49.493323,10,632,1125,M,,,Calling,Heard
2MGB,24-07-12,09:46,Indri indri,?,?,7,100,338356,8306469,-15.31322,49.494375,8,632,900,M,,,Calling,Heard
3AJB,23-09-11,19:08,Microcebus rufus*,1,11,7,100,351538,8319289,-15.198141,49.617889,4,429,1325,R,,,Stop,
4AJB,18-08-12,10:18,Varecia rubra,?,?,7,340,352511,8319437,-15.196859,49.626954,4,510,1725,R,,,Sound,Heard
VIN,14.6.11,09:01,Indri indri,,,<500,360,336674,8289498,-15.466493,49.477598,,454,1150,I,,,Calling,Hear
VIN,14.6.11,09:12,Varecia variegata,,,50,50,335991,8289525,-15.466205,49.471235,,475,1150,I,,,Calling,Hear
