"sites","water","lawn_grass","urban","forest","shrub","herbaceous","wetland","ag"
"C04-MBP1",0.0143143429716576,0.0117377612367592,0.820784425994847,0.0549670770111652,0.000858860578299456,0.000858860578299456,0.0833094760950472,0
"C05-BEA1",0.0797704447632712,0.0602582496413199,0.522812051649928,0.0373027259684362,0.0048780487804878,0.132281205164993,0.111047345767575,0.012338593974175
"C05-BMP1",0.257675753228121,0.13428981348637,0.318794835007174,0.0226685796269727,0.00717360114777618,0.0447632711621234,0.190530846484935,0.00143472022955524
"C05-BMP2",0.146054519368723,0.00229555236728838,0.281779053084649,0.0352941176470588,0.00975609756097561,0.195408895265423,0.237876614060258,0.0048780487804878
"C05-EGG1",0.0734366035570855,0.0189328743545611,0.709695926563396,0.0278255880665519,0,0.01061388410786,0.125932300631096,0.03184165232358
"C06-BEA2",0.142734060884549,0.0310166570936244,0.330557151062608,0.0729465824238943,0.0275703618609994,0.0712234348075819,0.141010913268237,0.0919012062033314
"C06-HMP1",0.153978248425873,0.00429307384087006,0.442186605609616,0.0718374356038924,0.0191757298225529,0.139668002289639,0.0583858042358329,0.0769891242129365
"D02-BMT1",0.0119897230944904,0.000570939194975735,0.983442763345704,0,0,0,0,0
"D02-HUP0",0.00287108814240597,0.0292850990525409,0.894631065173701,0.000574217628481194,0,0.0361757105943152,0,0
"D02-JBS1",0.424476927486386,0.0369733447979364,0.47750071653769,0.0111779879621668,0,0.0120378331900258,0.00716537689882488,0.00171969045571797
"D02-MDU1",0.745064377682403,0.0409155937052933,0.115593705293276,0.000572246065808298,0.00171673819742489,0.0203147353361946,0,0.00658082975679542
"D02-MOP1",0,0.000286615075952995,0.999713384924047,0,0,0,0,0
"D02-RCP1",0.0157412707498569,0.00314825414997138,0.97853463079565,0,0,0.00143102461362335,0,0
"D02-SCP1",0.00544100801832761,0,0.993986254295533,0,0,0,0,0
"D03-AFP1",0,0.00171969045571797,0.993121238177128,0,0,0.00401261106334193,0,0
"D03-AMP1",0,0.00744772271555428,0.986536808937267,0.000286450873675165,0,0.00401031223145231,0.000572901747350329,0
"D03-CHP1",0,0.00200803212851406,0.996270797475617,0,0,0.000286861732644865,0,0
"D03-GOM1",0,0.111906124785346,0.830566685746995,0.0108757870635375,0,0.00171722953634803,0.0380652547223812,0
"D03-HOR1",0.000861079219288174,0.0321469575200918,0.931974741676234,0.00287026406429392,0,0.00287026406429392,0,0
"D03-NPV1",0.000859845227858985,0.108913728862138,0.807394668959587,0.0481513327601032,0,0.00257953568357696,0.0100315276583548,0.00143307537976498
"D03-STB1",0,0.00200630553167097,0.997993694468329,0,0,0,0,0
"D04-DNP1",0,0.102696500286862,0.897303499713138,0,0,0,0,0
"D04-EDW0",0,0.166285060103034,0.618775042930738,0.0592444190040069,0,0.0100171722953635,0.137664567830567,0.00114481969089868
"D04-FGP1",0,0.0403895731881982,0.86078487539387,0.0108851331996563,0,0.0103122314523059,0.0770552850186193,0
"D04-RDP1",0,0.0462989425550157,0.941411831951986,0.00142897970848814,0.000285795941697628,0.000571591883395256,0.00857387825092884,0.000571591883395256
"D04-ROS0",0,0.0819249498710971,0.914351188771126,0,0,0,0,0
"D05-BRP1",0,0.0773417358922945,0.900887997708393,0.0123173875680321,0.00114580349470066,0.00114580349470066,0.00458321397880264,0.000286450873675165
"D05-MHC1",0,0.0879152348224513,0.912084765177549,0,0,0,0,0
"D05-MIA1",0.00229095074455899,0.0707331042382589,0.823883161512028,0.0148911798396334,0.00143184421534937,0.000286368843069874,0.0844788087056128,0.000572737686139748
"D05-PRC1",0,0.133123389636416,0.865445176066419,0,0,0,0,0.00143143429716576
"D06-KCG1",0.000857878181298256,0.0955104375178725,0.705175865027166,0.0348870460394624,0,0.00343151272519302,0.150986559908493,0.00915070060051473
"D07-ASC0",0.0149082568807339,0.211582568807339,0.495412844036697,0.16026376146789,0,0.00344036697247706,0.0934633027522936,0.0131880733944954
"D07-NOC1",0.021173104434907,0.096137339055794,0.453218884120172,0.260371959942775,0,0.00286123032904149,0.158226037195994,0.00801144492131617
"D07-PLN1",0,0.0541237113402062,0.935280641466208,0,0,0,0,0.0100229095074456
"D08-BOR1",0.0177497852848554,0.0638419696535929,0.669338677354709,0.156312625250501,0.0197537933008875,0.00257658173489837,0.0535356427139994,0.0148869166905239
"D08-CCC1",0.0361134995700774,0.190885640584695,0.592719977070794,0.0392662654055603,0,0.0272284322155345,0.103468042419031,0.00343938091143594
"D08-DAW0",0.0266628440366972,0.0536123853211009,0.41829128440367,0.335149082568807,0.0117545871559633,0.00659403669724771,0.13618119266055,0.0117545871559633
"D08-DAW2",0.0308571428571429,0.0437142857142857,0.466857142857143,0.324857142857143,0.024,0.004,0.104285714285714,0.00142857142857143
"D09-BON0",0,0.0760619977037887,0.869115958668197,0.000287026406429392,0,0,0,0.0545350172215844
"D09-CLG0",0.0361134995700774,0.291200917168243,0.40384064201777,0.13585554600172,0,0.00286615075952995,0.0750931498996847,0.0481513327601032
"D09-RYW1",0.00229029487546522,0.259662181505869,0.162038362439164,0.492127111365588,0.00143143429716576,0.0065845977669625,0.0741482965931864,0.00171772115659891
"D09-VTC1",0.0163323782234957,0.163896848137536,0.491404011461318,0.155014326647564,0,0.0189111747851003,0.145272206303725,0.000859598853868195
"D10-CAN0",0.0209229005445686,0.0364001146460304,0.455431355689309,0.232158211521926,0,0.0212095156205216,0.224132989395242,0.00831183720263686
"D10-MAC1",0.0160228898426323,0.0921316165951359,0.0809728183118741,0.508154506437768,0.000572246065808298,0.0160228898426323,0.255507868383405,0.0231759656652361
"D10-VHC1",0.00229226361031519,0.116905444126074,0.798853868194842,0.0260744985673352,0,0.00429799426934097,0.0269340974212034,0.0246418338108883
"J01-BBS1",0.397938734612081,0.00314915545376467,0.561122244488978,0,0.000286286859433152,0.0108789006584598,0,0
"J01-CLP1",0.0195065978198508,0.00372920252438325,0.96758462421113,0,0,0.00430292598967298,0,0
"J01-LMP1",0.243909429635999,0.0157638291774147,0.690742333046718,0.00057323015190599,0.00200630553167097,0.0114646030381198,0,0.00114646030381198
"J01-NOR1",0.541058655221745,0.000858369098712446,0.412303290414878,0,0,0.015450643776824,0,0
"J01-SEP1",0.00803673938002296,0.00172215843857635,0.979334098737084,0,0,0.00545350172215844,0,0
"J01-SKP1",0,0.00372172917263098,0.980532493558546,0.000572573718866304,0,0.00744345834526195,0,0
"J01-UIC1",0.00545350172215844,0.00258323765786452,0.982491389207807,0,0,0.00172215843857635,0,0
"R02-ALT1",0,0,0.999140401146132,0,0,0,0,0
"R02-DPG1",0.00659971305595409,0.0329985652797704,0.916212338593974,0,0.00315638450502152,0.0172166427546628,0,0.000286944045911047
"R02-FRP1",0,0.000573394495412844,0.998279816513762,0,0,0,0,0
"R02-GFP1",0.0128976784178848,0.0226425910002866,0.917168243049584,0.00114646030381198,0,0.0163370593293207,0,0
"R03-AUP1",0,0.0011444921316166,0.998569384835479,0,0,0,0,0
"R03-CPG1",0.00372492836676218,0.0839541547277937,0.891117478510029,0.00171919770773639,0,0.00458452722063037,0,0.000859598853868195
"R03-EUC1",0,0.00114646030381198,0.993694468329034,0,0,0,0,0
"R03-MAP1",0,0.0034443168771527,0.988518943742824,0,0,0.000287026406429392,0,0
"R04-MMW0",0.00515021459227468,0.116738197424893,0.682689556509299,0.0203147353361946,0.00400572246065808,0.0354792560801145,0.0449213161659514,0.0889842632331903
"R04-MMW3",0.00716537689882488,0.0948695901404414,0.763829177414732,0.00917168243049584,0.00401261106334193,0.0163370593293207,0.0298079678991115,0.0730868443680138
"R04-SCH1",0,0.00544412607449857,0.992550143266476,0.000859598853868195,0,0,0,0
"R05-FMG1",0,0.235344581069488,0.758078352873892,0,0,0.00657706605661996,0,0
"R05-GOC1",0,0.0985391005442567,0.901460899455743,0,0,0,0,0
"R05-MTC1",0.0065845977669625,0.149441740624105,0.842542227311766,0,0,0,0,0
"R05-STP1",0,0.00286286859433152,0.997137131405669,0,0,0,0,0
"R06-OTB1",0,0.103151862464183,0.892836676217765,0.00143266475644699,0,0,0,0.00257879656160458
"R06-SLT2",0,0.152765835482946,0.826597879048438,0.0131842934938378,0,0,0.00630553167096589,0
"R06-YOW1",0,0.107930146006298,0.792728313770398,0.0896077870025766,0,0,0.0077297452046951,0.00200400801603206
"R07-FSP1",0,0.0602236879839404,0.935474620017207,0,0,0,0.00430169199885288,0
"R07-GOF1",0.0283830275229358,0.142201834862385,0.774942660550459,0.00974770642201835,0.00602064220183486,0.010894495412844,0.0169151376146789,0.010894495412844
"R07-MMP1",0,0.118775042930738,0.880938752146537,0,0,0,0,0.000286204922724671
"R07-YHR1",0,0.12761087267525,0.867525035765379,0.00486409155937053,0,0,0,0
"R08-DAP1",0,0.11257519335434,0.883128043540533,0.00372386135777714,0,0,0,0.000572901747350329
"R08-PAP1",0,0.118085411292634,0.881914588707366,0,0,0,0,0
"R08-VLG1",0.00428082191780822,0.160958904109589,0.831906392694064,0,0,0.00256849315068493,0.000285388127853881,0
"R08-WBK1",0.00287108814240597,0.189204708584554,0.784381280505312,0.0195233993683606,0.000574217628481194,0,0.00315819695664657,0
"R09-BLW1",0.00601030337721809,0.123926731539782,0.758729250143102,0.0306239267315398,0,0.000572409845449342,0.0798511734401832,0.000286204922724671
"R09-CTG0",0.00487245629120092,0.438807681284036,0.317282889079966,0.12725709372313,0,0.00687876182287188,0.0134709085697908,0.0914302092290054
"R09-LIM0",0.00515759312320917,0.0931232091690544,0.734957020057307,0.0564469914040115,0.000573065902578797,0.00773638968481375,0.0982808022922636,0.00343839541547278
"R09-SMI1",0,0.24692417739628,0.75307582260372,0,0,0,0,0
"R10-FRM1",0.00687876182287188,0.0905703640011465,0.476640871309831,0.111206649469762,0.00114646030381198,0.102608197191172,0.0535970192032101,0.156778446546288
"R10-FRM2",0.0383514596451059,0.0784201488265598,0.226960503720664,0.0844304522037779,0.00114481969089868,0.127933600457928,0.377504293073841,0.065254722381225
"R10-WCP0",0.000572901747350329,0.0933829848181037,0.463763964480092,0.18246920653108,0.0146089945574334,0.00143225436837582,0.138928673732455,0.103408765396734
"R10-WDW0",0,0.151567443198159,0.617486338797814,0.141213689962611,0,0.00460166810468795,0.0851308599367271,0
"S02-BNS1",0.275179340028694,0.0114777618364419,0.667431850789096,0.000286944045911047,0.00258249641319943,0.00315638450502152,0,0.00200860832137733
"S02-BRI1",0.0306942053930006,0.000860585197934596,0.96815834767642,0,0,0.000286861732644865,0,0
"S02-CPR1",0.0369627507163324,0,0.963037249283668,0,0,0,0,0
"S02-MCP1",0.0065864833906071,0.0171821305841924,0.960194730813288,0.00257731958762887,0,0.00486827033218786,0,0
"S02-PIP1",0.00114810562571757,0.00774971297359357,0.960964408725603,0,0,0,0,0
"S02-PLP1",0.00887743413516609,0.00143184421534937,0.986540664375716,0,0,0.0011454753722795,0,0
"S02-TNW1",0.330185979971388,0.00801144492131617,0.612017167381974,0,0,0.0117310443490701,0,0.00200286123032904
"S03-ARP1",0,0.00458847146544307,0.991396616002294,0,0,0,0,0
"S03-JKP2",0.30974212034384,0.0871060171919771,0.489111747851003,0.00544412607449857,0.00687679083094556,0.0386819484240688,0.00372492836676218,0
"S03-LCP1",0.0191977077363897,0.00257879656160458,0.969627507163324,0,0,0.00630372492836676,0,0
"S03-PSP1",0,0.00544724770642202,0.991399082568807,0,0,0,0,0
"S03-VIP1",0,0.00630914826498423,0.988815600802983,0,0,0.00200745626613135,0,0
"S03-WAP1",0,0.00256996002284409,0.997430039977156,0,0,0,0,0
"S04-HAP1",0,0.0131880733944954,0.983371559633028,0,0,0.00172018348623853,0,0
"S04-OTW1",0.0307030129124821,0.0493543758967001,0.707604017216643,0.0229555236728838,0,0.00114777618364419,0.181922525107604,0.00430416068866571
"S04-SSP1",0.0349570200573066,0.00859598853868195,0.899713467048711,0.0169054441260745,0,0.00659025787965616,0.00372492836676218,0
"S04-VFP1",0,0.000858614768174013,0.998568975386377,0,0,0,0,0
"S04-WEP1",0,0.0100372813306567,0.987668482936622,0,0,0.000860338399770576,0,0
"S05-LNC1",0.00486687661036358,0.035785857429144,0.847122817062697,0.084740910392213,0,0.00200400801603206,0.0237618093329516,0
"S05-RES1",0,0.0595476667620956,0.939593472659605,0,0,0,0,0
"S05-SFP0",0.0982808022922636,0.0212034383954155,0.634957020057307,0.0183381088825215,0,0.0558739255014327,0.0487106017191977,0.0200573065902579
"S06-CBW0",0.0816852966466036,0.136428776153626,0.366007451991975,0.0902837489251935,0.000859845227858985,0.00487245629120092,0.31670965892806,0.00257953568357696
"S07-ARG1",0.00429553264604811,0.072737686139748,0.267754868270332,0.456185567010309,0,0.00515463917525773,0.127147766323024,0.0544100801832761
"S07-ARG2",0,0.120057306590258,0.517478510028653,0.297994269340974,0.000286532951289398,0.0312320916905444,0.0180515759312321,0.00916905444126075
"S07-STJ1",0.106529209621993,0.0604238258877434,0.27319587628866,0.15864833906071,0.00343642611683849,0.0174684994272623,0.379152348224513,0
"S08-WGL1",0.00457927876359473,0.0847166571265026,0.25672581568403,0.443331425300515,0.0105895821408128,0.0558099599313108,0.11333714939897,0.0180309101316543
"S09-KTP1",0.040343347639485,0.0695278969957082,0.227181688125894,0.206008583690987,0.00371959942775393,0.0237482117310443,0.384263233190272,0.0217453505007153
"S09-SMC1",0,0.14420871559633,0.727924311926605,0.0977637614678899,0.00114678899082569,0.0137614678899083,0.00401376146788991,0.00774082568807339
"S09-VTW0",0.018364418938307,0.0381635581061693,0.622668579626973,0.0964131994261119,0,0.0220946915351506,0.0631276901004304,0.0464849354375897
"S10-ILC1",0.119552752293578,0.0361238532110092,0.315940366972477,0.0120412844036697,0.00974770642201835,0.119552752293578,0.366112385321101,0.000573394495412844
"S10-LEW1",0.0530694205393001,0.141135972461274,0.312392426850258,0.119334480780264,0,0.0599541021227768,0.157200229489386,0.112449799196787
"S10-LPC1",0,0.106456241032999,0.878622668579627,0.00918220946915351,0,0,0.00516499282639885,0
"S10-LPP0",0.124785346307956,0.0340583858042358,0.18689181453921,0.0538065254722381,0,0.0515168860904408,0.489410417859187,0.0572409845449342
